RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11545,금천구,10200,독산동,1,대지,1156,0000,금천 롯데캐슬 골드파크 4차,20250519,15500,24.21,38.1,27.0,,,2019,오피스텔,중개거래,서울 금천구
2025,11620,관악구,10200,신림동,1,대지,0739,0000,뉴서울,20250519,30000,51.27,0.0,5.0,,,1984,아파트,중개거래,서울 동대문구
2025,11380,은평구,11400,진관동,1,대지,0100,0004,어드벤스힐 오피스텔,20250519,15250,29.79,40.6015,8.0,,,2013,오피스텔,중개거래,서울 은평구
2025,11500,강서구,10300,화곡동,1,대지,0046,0391,밀레니엄(46-391),20250519,19500,49.23,28.0,3.0,,,2008,연립다세대,중개거래,서울 강서구
2025,11230,동대문구,10600,장안동,,,,,,20250519,59500,173.96,148.0,0.0,,,1975,단독다가구,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0050,0112,삼호빌라(50-112),20250519,9900,46.86,25.0,3.0,,,1996,연립다세대,직거래,
2025,11545,금천구,10300,시흥동,1,대지,0120,0022,원미아트빌라,20250519,24000,41.23,25.0,3.0,,,1989,연립다세대,직거래,
2025,11545,금천구,10300,시흥동,1,대지,1013,0000,관악산벽산타운5,20250518,52500,84.97,0.0,3.0,,,2004,아파트,중개거래,서울 금천구
2025,11470,양천구,10100,신정동,1,대지,1325,0000,목동파크자이(101동~108동),20250518,146500,84.926,0.0,4.0,,,2019,아파트,중개거래,서울 양천구
2025,11530,구로구,10900,궁동,1,대지,0237,0009,현대힐타운(237-9),20250518,26800,42.88,27.0,2.0,,,2017,연립다세대,중개거래,서울 구로구
2025,11440,마포구,10100,아현동,1,대지,0737,0000,마포 에스케이 허브 블루,20250518,20900,34.952,45.519,11.0,,,2006,오피스텔,중개거래,서울 마포구
2025,11350,노원구,10400,하계동,1,대지,0273,0000,장미(시영6),20250518,53000,49.5,0.0,3.0,,,1989,아파트,중개거래,서울 노원구
2025,11740,강동구,10900,천호동,1,대지,0019,0001,우성,20250518,83500,64.53,0.0,7.0,,,1985,아파트,중개거래,서울 강동구
2025,11350,노원구,10500,상계동,1,대지,1282,0000,상계2차중앙하이츠,20250518,59250,59.82,0.0,13.0,,,1998,아파트,중개거래,서울 노원구
2025,11410,서대문구,11900,북가좌동,1,대지,0001,0001,에덴빌라,20250518,40500,83.46,49.0,5.0,,,2008,연립다세대,중개거래,서울 서대문구
2025,11710,송파구,11100,방이동,1,대지,0141,0010,우림빌라트,20250518,39000,54.89,31.0,3.0,,,2007,연립다세대,중개거래,서울 송파구
2025,11620,관악구,10200,신림동,1,대지,0610,0352,우석빌라7차,20250518,13000,28.52,12.0,-1.0,,,1994,연립다세대,중개거래,서울 관악구
2025,11260,중랑구,10300,중화동,1,대지,0042,0000,중화동건영아파트,20250518,44000,59.94,0.0,5.0,,,1998,아파트,중개거래,"서울 서대문구, 서울 중랑구"
2025,11230,동대문구,10500,답십리동,1,대지,1009,0000,힐스테이트청계,20250518,125000,59.86,0.0,27.0,,,2018,아파트,중개거래,서울 동대문구
2025,11470,양천구,10100,신정동,1,대지,1273,0000,신정현대5,20250518,102000,114.24,0.0,2.0,,,1999,아파트,중개거래,서울 양천구
2025,11380,은평구,10700,응암동,1,대지,0102,0042,(102-42),20250517,14800,33.82,24.0,-1.0,,,1987,연립다세대,중개거래,서울 은평구
2025,11140,중구,16200,신당동,1,대지,0844,0000,남산타운,20250517,105600,59.94,0.0,3.0,,,2002,아파트,중개거래,서울 중구
2025,11590,동작구,10200,상도동,1,대지,0279,0145,상도시그니처,20250517,59000,56.06,35.0,1.0,,,2022,연립다세대,직거래,
